"MaxEStateIndex","MinEStateIndex","MaxAbsEStateIndex","MinAbsEStateIndex","qed","MolWt","HeavyAtomMolWt","ExactMolWt","NumValenceElectrons","FpDensityMorgan1","FpDensityMorgan2","FpDensityMorgan3","BalabanJ","BertzCT","Chi0","Chi0n","Chi0v","Chi1","Chi1n","Chi1v","Chi2n","Chi2v","Chi3n","Chi3v","Chi4n","Chi4v","HallKierAlpha","Ipc","Kappa1","Kappa2","Kappa3","LabuteASA","PEOE_VSA1","PEOE_VSA10","PEOE_VSA11","PEOE_VSA12","PEOE_VSA13","PEOE_VSA14","PEOE_VSA2","PEOE_VSA3","PEOE_VSA4","PEOE_VSA5","PEOE_VSA6","PEOE_VSA7","PEOE_VSA8","PEOE_VSA9","SMR_VSA1","SMR_VSA10","SMR_VSA2","SMR_VSA3","SMR_VSA4","SMR_VSA5","SMR_VSA6","SMR_VSA7","SMR_VSA9","SlogP_VSA1","SlogP_VSA10","SlogP_VSA11","SlogP_VSA12","SlogP_VSA2","SlogP_VSA3","SlogP_VSA4","SlogP_VSA5","SlogP_VSA6","SlogP_VSA7","SlogP_VSA8","TPSA","EState_VSA1","EState_VSA10","EState_VSA11","EState_VSA2","EState_VSA3","EState_VSA4","EState_VSA5","EState_VSA6","EState_VSA7","EState_VSA8","EState_VSA9","VSA_EState10","VSA_EState2","VSA_EState8","VSA_EState9","FractionCSP3","HeavyAtomCount","NHOHCount","NOCount","NumAliphaticCarbocycles","NumAliphaticHeterocycles","NumAliphaticRings","NumAromaticCarbocycles","NumAromaticHeterocycles","NumAromaticRings","NumHAcceptors","NumHDonors","NumHeteroatoms","NumRotatableBonds","NumSaturatedCarbocycles","NumSaturatedHeterocycles","NumSaturatedRings","RingCount","MolLogP","MolMR","fr_Al_COO","fr_Al_OH","fr_Al_OH_noTert","fr_ArN","fr_Ar_COO","fr_Ar_N","fr_Ar_NH","fr_Ar_OH","fr_COO","fr_COO2","fr_C_O","fr_C_O_noCOO","fr_HOCCN","fr_Imine","fr_NH0","fr_NH1","fr_NH2","fr_N_O","fr_Ndealkylation1","fr_Ndealkylation2","fr_Nhpyrrole","fr_SH","fr_aldehyde","fr_alkyl_halide","fr_allylic_oxid","fr_amide","fr_amidine","fr_aniline","fr_aryl_methyl","fr_benzene","fr_bicyclic","fr_epoxide","fr_ester","fr_ether","fr_furan","fr_guanido","fr_halogen","fr_hdrzine","fr_hdrzone","fr_imidazole","fr_imide","fr_ketone","fr_ketone_Topliss","fr_lactam","fr_lactone","fr_methoxy","fr_nitrile","fr_nitro","fr_nitro_arom","fr_nitro_arom_nonortho","fr_nitroso","fr_oxime","fr_para_hydroxylation","fr_phenol","fr_phenol_noOrthoHbond","fr_phos_acid","fr_phos_ester","fr_piperdine","fr_piperzine","fr_priamide","fr_pyridine","fr_quatN","fr_sulfide","fr_thiazole","fr_thiocyan","fr_unbrch_alkane","fr_urea","L0","L1","L2","L3","L4","L5"
8.881944444,-4.638888889,8.881944444,4.638888889,0.341890659,97.994,94.97,97.97689521,32,1.2,1.2,1.2,3.472066496,49.78353987,4.5,2.197102673,3.091529864,2,0.782574186,2.347722558,0.513277132,1.539831395,0,0,0,0,0.11,3.609640474,5.11,1.064829758,1512.242231,28.30662084,14.68023481,0,0,0,0,7.822697123,0,4.565048285,0,0,0,0,0,0,19.24528309,7.822697123,0,0,0,0,0,0,0,0,0,0,7.822697123,14.68023481,4.565048285,0,0,0,0,0,77.76,7.822697123,0,0,0,0,0,0,0,0,0,19.24528309,0,0,8.881944444,16.92361111,0,5,3,4,0,0,0,0,0,0,1,3,5,0,0,0,0,0,-0.9286,14.2629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
9.626875,-5.050347222,9.626875,2.958333333,0.407077681,177.973,173.941,177.9432257,56,0.888888889,1.111111111,1.111111111,4.07447931,147.3551723,7.707106781,3.908026444,5.696880826,3.707106781,1.530296743,4.59089023,1.06280356,3.678308627,0.212726015,1.914534138,0.138556482,1.24700834,0.26,27.43574108,9.26,2.476088942,8.26,49.7640105,19.57364641,0,0,0,0,15.64539425,0,9.13009657,4.31063137,0,0,0,0,0,33.01437435,15.64539425,0,0,0,0,0,0,0,0,0,0,15.64539425,19.57364641,13.44072794,0,0,0,0,0,124.29,15.64539425,9.13009657,0,0,0,0,0,0,0,4.31063137,19.57364641,0,0,22.21208333,20.89902778,0,9,4,7,0,0,0,0,0,0,3,4,9,2,0,0,0,0,-0.8116,25.1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0.397555062,17.031,14.007,17.0265491,8,1,1,1,0,0,0,0.707106781,0.707106781,0,0,0,0,0,0,0,0,0,-0.04,0,0.96,-27.04,-104.04,7.504228124,6.15054635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15054635,0,0,0,0,0,6.15054635,0,0,0,0,0,0,0,0,0,0,35,0,0,0,6.15054635,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.162,5.0221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
10.86074074,-0.931481482,10.86074074,0.215832389,0.407584404,130.103,124.055,130.0378421,50,1.777777778,2.333333333,2.666666667,3.853318406,172.7201058,9.016507858,4.495760984,4.495760984,4.947264863,2.081213825,2.081213825,1.157830239,1.157830239,0.489277685,0.489277685,0.180979615,0.180979615,-1.1,169.8531812,4.74837773,1.696130217,1.394402828,51.8411082,0,0,0,0,0,50.71205567,0,0,0,0,0,0,0,0,14.69560176,11.87648502,0,5.316788604,5.733667477,13.08951281,0,0,0,11.05045608,0,0,0,30.07252522,9.589074368,0,0,0,0,0,92.42,12.51406169,9.589074368,0,12.45193614,0,0,0,0,0,5.316788604,10.84019487,0,-0.605739796,0,35.1057398,0.5,9,4,5,0,0,0,0,0,0,3,3,7,3,0,0,0,0,-2.1033,27.5419,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
9.543981482,-1.37962963,9.543981482,0.824074074,0.445928385,88.062,84.03,88.01604399,34,1.5,1.666666667,1.666666667,3.567703455,72.03910002,5.154700538,3.263710176,3.263710176,2.64273441,1.381855088,1.381855088,0.861338782,0.861338782,0.301175685,0.301175685,0,0,-0.86,13.60964047,5.14,1.545017487,1.458471338,34.58641321,5.106527395,0,0,5.783244946,0,5.969305288,4.794537184,4.794537184,0,0,0,0,6.9237372,0,14.69560176,11.75255023,0,0,0,6.9237372,0,0,0,0,0,0,0,16.85907763,9.589074368,0,6.9237372,0,0,0,54.37,11.75255023,9.589074368,0,0,0,6.9237372,0,0,0,0,5.106527395,0,0,0,25.33333333,0.333333333,6,1,3,0,0,0,0,0,0,2,1,3,1,0,0,0,0,-0.34,18.3168,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
12.61295555,-5.557255669,12.61295555,0.030982659,0.058692043,809.578,771.274,809.1257736,288,1.078431373,1.745098039,2.392156863,1.553439325,1710.034747,38.36323207,27.07419907,30.57397722,23.51709351,14.54052893,20.04731446,11.40936033,16.91698926,6.807106889,10.72159363,4.324943437,7.645542588,-2.44,34567144578,42.96830671,17.58992306,12.87649819,292.7835225,50.89080884,36.25988634,22.8082181,11.81435946,0,23.46809137,32.52195269,28.64708042,4.31063137,0,25.60935935,0,37.60191571,19.541084,80.48419342,69.14135342,0,30.15261242,5.414990469,57.83579994,37.78979782,12.65464015,0,16.36724469,5.817862778,0,35.22997632,122.7073687,50.69749222,5.414990469,33.41993439,12.65464015,0,11.16387794,363.63,84.55497195,57.86545761,0,41.60735208,5.752853607,28.98362475,20.7712116,0,0,34.4198913,19.51802475,1.025070026,0,56.22938655,99.41221009,0.652173913,51,10,24,0,1,1,0,2,2,19,9,28,19,0,1,1,3,-1.3154,172.7721,0,2,2,1,0,4,0,0,0,0,3,3,0,0,4,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1
9.993880386,-1.165509259,9.993880386,0.023148148,0.485975531,147.13,138.058,147.0531578,58,1.4,1.9,2.2,3.49072966,144.5833771,8.14626437,5.279837873,5.279837873,4.53658126,2.739272035,2.739272035,1.877144418,1.877144418,0.98640468,0.98640468,0.402452692,0.402452692,-1.1,111.0417522,8.9,3.837557392,3.848565935,57.45042189,15.94672227,6.041840829,0,0,0,11.93861058,9.589074368,0,0,0,0,6.420821623,6.420821623,0,19.80212916,11.93861058,0,0,5.733667477,18.88348408,0,0,0,5.733667477,0,0,0,28.19350619,9.589074368,0,12.84164325,0,0,0,100.62,17.98045141,9.589074368,0,12.84164325,0,0,0,0,0,0,15.94672227,0,0,0,37.66666667,0.6,10,4,5,0,0,0,0,0,0,3,3,5,4,0,0,0,0,-0.7369,32.481,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
10.18439815,-1.582175926,10.18439815,0.425462963,0.521625302,146.098,140.05,146.0215233,56,1,1.5,1.8,3.604156822,170.8771238,8.14626437,5.033385625,5.033385625,4.53658126,2.516692812,2.516692812,1.622067443,1.622067443,0.804463482,0.804463482,0.327396508,0.327396508,-1.39,111.0417522,8.61,3.600317491,3.592178163,56.27205329,10.21305479,0,0,5.783244946,0,11.93861058,9.589074368,4.794537184,0,0,0,0,6.420821623,6.420821623,24.59666634,17.72185552,0,0,0,12.84164325,0,0,0,0,0,0,0,27.93491031,14.38361155,0,12.84164325,0,0,0,91.67,30.56349877,14.38361155,0,0,0,0,0,0,0,0,10.21305479,0,0,0,41,0.4,10,2,5,0,0,0,0,0,0,3,2,5,4,0,0,0,0,-0.4951,29.5126,2,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
6,6,6,6,0.292487473,34.014,31.998,34.0054793,14,1,1,1,1,0,2,0.894427191,0.894427191,1,0.2,0.2,0,0,0,0,0,0,-0.08,2,1.92,0.92,-14.58,11.89207173,0,0,0,0,0,0,10.51447079,0,0,0,0,0,0,0,10.51447079,0,0,0,0,0,0,0,0,0,0,0,0,10.51447079,0,0,0,0,0,0,40.46,0,0,0,0,0,0,0,0,0,0,10.51447079,0,0,0,12,0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0.0174,5.2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
12.15447446,-5.59237418,12.15447446,0.722788616,0.126671054,566.302,542.11,566.0550206,206,0.916666667,1.555555556,2.166666667,1.611364671,1123.772869,26.99927104,17.85865069,19.64750507,16.65350342,9.989945016,12.98083525,7.680907174,10.67734493,5.156379093,7.756838835,3.350949116,5.508883378,-1.38,41785932.71,29.18003455,11.1590158,6.539616207,199.4272332,49.89971348,42.72776471,12.5179279,0,5.559266895,21.33513764,23.39310968,13.92463375,4.31063137,0,0,0,12.26321064,13.21376393,72.38793575,15.64539425,0,9.551078169,0,55.24569261,13.21376393,33.1012953,0,11.24901029,0,0,15.64539425,112.2086211,31.96194817,0,6.227901171,21.85228501,0,0,296.99,95.35386108,54.03863112,0,0,0,16.83031029,0,0,4.983978521,13.35812569,14.5802533,0,0,38.00557773,83.93886672,0.733333333,36,9,19,0,2,2,0,1,1,16,9,21,9,0,2,2,3,-4.7937,108.7861,0,6,6,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
